,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
83,0.0,1,male,28.0,0,0,47.1,S,Mr.
84,1.0,2,female,17.0,0,0,10.5,S,Miss.
85,1.0,3,female,33.0,3,0,15.85,S,Mrs.
86,0.0,3,male,16.0,1,3,34.375,S,Mr.
87,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
88,1.0,1,female,23.0,3,2,263.0,S,Miss.
89,0.0,3,male,24.0,0,0,8.05,S,Mr.
90,0.0,3,male,29.0,0,0,8.05,S,Mr.
91,0.0,3,male,20.0,0,0,7.8542,S,Mr.
92,0.0,1,male,46.0,1,0,61.175,S,Mr.
93,0.0,3,male,26.0,1,2,20.575,S,Mr.
94,0.0,3,male,59.0,0,0,7.25,S,Mr.
95,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
96,0.0,1,male,71.0,0,0,34.6542,C,Mr.
97,1.0,1,male,23.0,0,1,63.3583,C,Mr.
98,1.0,2,female,34.0,0,1,23.0,S,Mrs.
99,0.0,2,male,34.0,1,0,26.0,S,Mr.
100,0.0,3,female,28.0,0,0,7.8958,S,Miss.
101,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
102,0.0,1,male,21.0,0,1,77.2875,S,Mr.
103,0.0,3,male,33.0,0,0,8.6542,S,Mr.
104,0.0,3,male,37.0,2,0,7.925,S,Mr.
105,0.0,3,male,28.0,0,0,7.8958,S,Mr.
106,1.0,3,female,21.0,0,0,7.65,S,Miss.
107,1.0,3,male,25.962263610315187,0,0,7.775,S,Mr.
108,0.0,3,male,38.0,0,0,7.8958,S,Mr.
109,1.0,3,female,22.185328947368422,1,0,24.15,Q,Miss.
110,0.0,1,male,47.0,0,0,52.0,S,Mr.
111,0.0,3,female,14.5,1,0,14.4542,C,Miss.
112,0.0,3,male,22.0,0,0,8.05,S,Mr.
113,0.0,3,female,20.0,1,0,9.825,S,Miss.
114,0.0,3,female,17.0,0,0,14.4583,C,Miss.
115,0.0,3,male,21.0,0,0,7.925,S,Mr.
116,0.0,3,male,70.5,0,0,7.75,Q,Mr.
117,0.0,2,male,29.0,1,0,21.0,S,Mr.
118,0.0,1,male,24.0,0,1,247.5208,C,Mr.
119,0.0,3,female,2.0,4,2,31.275,S,Miss.
120,0.0,2,male,21.0,2,0,73.5,S,Mr.
121,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
122,0.0,2,male,32.5,1,0,30.0708,C,Mr.
123,1.0,2,female,32.5,0,0,13.0,S,Miss.
124,0.0,1,male,54.0,0,1,77.2875,S,Mr.
125,1.0,3,male,12.0,1,0,11.2417,C,Master.
126,0.0,3,male,25.962263610315187,0,0,7.75,Q,Mr.
127,1.0,3,male,24.0,0,0,7.1417,S,Mr.
128,1.0,3,female,22.185328947368422,1,1,22.3583,C,Miss.
129,0.0,3,male,45.0,0,0,6.975,S,Mr.
130,0.0,3,male,33.0,0,0,7.8958,C,Mr.
131,0.0,3,male,20.0,0,0,7.05,S,Mr.
132,0.0,3,female,47.0,1,0,14.5,S,Mrs.
133,1.0,2,female,29.0,1,0,26.0,S,Mrs.
134,0.0,2,male,25.0,0,0,13.0,S,Mr.
135,0.0,2,male,23.0,0,0,15.0458,C,Mr.
136,1.0,1,female,19.0,0,2,26.2833,S,Miss.
137,0.0,1,male,37.0,1,0,53.1,S,Mr.
138,0.0,3,male,16.0,0,0,9.2167,S,Mr.
139,0.0,1,male,24.0,0,0,79.2,C,Mr.
140,0.0,3,female,22.185328947368422,0,2,15.2458,C,Mrs.
141,1.0,3,female,22.0,0,0,7.75,S,Miss.
142,1.0,3,female,24.0,1,0,15.85,S,Mrs.
143,0.0,3,male,19.0,0,0,6.75,Q,Mr.
144,0.0,2,male,18.0,0,0,11.5,S,Mr.
145,0.0,2,male,19.0,1,1,36.75,S,Mr.
146,1.0,3,male,27.0,0,0,7.7958,S,Mr.
147,0.0,3,female,9.0,2,2,34.375,S,Miss.
148,0.0,2,male,36.5,0,2,26.0,S,Mr.
149,0.0,2,male,42.0,0,0,13.0,S,Other
150,0.0,2,male,51.0,0,0,12.525,S,Other
151,1.0,1,female,22.0,1,0,66.6,S,Mrs.
152,0.0,3,male,55.5,0,0,8.05,S,Mr.
153,0.0,3,male,40.5,0,2,14.5,S,Other
154,0.0,3,male,25.962263610315187,0,0,7.3125,S,Mr.
155,0.0,1,male,51.0,0,1,61.3792,C,Mr.
156,1.0,3,female,16.0,0,0,7.7333,Q,Miss.
157,0.0,3,male,30.0,0,0,8.05,S,Mr.
158,0.0,3,male,25.962263610315187,0,0,8.6625,S,Mr.
159,0.0,3,male,25.962263610315187,8,2,69.55,S,Master.
160,0.0,3,male,44.0,0,1,16.1,S,Mr.
161,1.0,2,female,40.0,0,0,15.75,S,Mrs.
162,0.0,3,male,26.0,0,0,7.775,S,Mr.
163,0.0,3,male,17.0,0,0,8.6625,S,Mr.
164,0.0,3,male,1.0,4,1,39.6875,S,Master.
165,1.0,3,male,9.0,0,2,20.525,S,Master.
166,1.0,1,female,37.037593984962406,0,1,55.0,S,Mrs.
167,0.0,3,female,45.0,1,4,27.9,S,Mrs.
168,0.0,1,male,41.02927152317881,0,0,25.925,S,Mr.
169,0.0,3,male,28.0,0,0,56.4958,S,Mr.
170,0.0,1,male,61.0,0,0,33.5,S,Other
171,0.0,3,male,4.0,4,1,29.125,Q,Master.
172,1.0,3,female,1.0,1,1,11.1333,S,Miss.
173,0.0,3,male,21.0,0,0,7.925,S,Mr.
174,0.0,1,male,56.0,0,0,30.6958,C,Mr.
175,0.0,3,male,18.0,1,1,7.8542,S,Mr.
176,0.0,3,male,25.962263610315187,3,1,25.4667,S,Master.
177,0.0,1,female,50.0,0,0,28.7125,C,Miss.
178,0.0,2,male,30.0,0,0,13.0,S,Mr.
179,0.0,3,male,36.0,0,0,0.0,S,Mr.
180,0.0,3,female,22.185328947368422,8,2,69.55,S,Miss.
181,0.0,2,male,30.815379746835443,0,0,15.05,C,Mr.
182,0.0,3,male,9.0,4,2,31.3875,S,Master.
183,1.0,2,male,1.0,2,1,39.0,S,Master.
184,1.0,3,female,4.0,0,2,22.025,S,Miss.
185,0.0,1,male,41.02927152317881,0,0,50.0,S,Mr.
186,1.0,3,female,22.185328947368422,1,0,15.5,Q,Mrs.
187,1.0,1,male,45.0,0,0,26.55,S,Mr.
188,0.0,3,male,40.0,1,1,15.5,Q,Mr.
189,0.0,3,male,36.0,0,0,7.8958,S,Mr.
190,1.0,2,female,32.0,0,0,13.0,S,Mrs.
191,0.0,2,male,19.0,0,0,13.0,S,Mr.
192,1.0,3,female,19.0,1,0,7.8542,S,Miss.
193,1.0,2,male,3.0,1,1,26.0,S,Master.
194,1.0,1,female,44.0,0,0,27.7208,C,Mrs.
195,1.0,1,female,58.0,0,0,146.5208,C,Miss.
196,0.0,3,male,25.962263610315187,0,0,7.75,Q,Mr.
197,0.0,3,male,42.0,0,1,8.4042,S,Mr.
198,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
199,0.0,2,female,24.0,0,0,13.0,S,Miss.
200,0.0,3,male,28.0,0,0,9.5,S,Other
201,0.0,3,male,25.962263610315187,8,2,69.55,S,Mr.
202,0.0,3,male,34.0,0,0,6.4958,S,Mr.
203,0.0,3,male,45.5,0,0,7.225,C,Mr.
204,1.0,3,male,18.0,0,0,8.05,S,Mr.
205,0.0,3,female,2.0,0,1,10.4625,S,Miss.
206,0.0,3,male,32.0,1,0,15.85,S,Mr.
207,1.0,3,male,26.0,0,0,18.7875,C,Mr.
208,1.0,3,female,16.0,0,0,7.75,Q,Miss.
209,1.0,1,male,40.0,0,0,31.0,C,Mr.
210,0.0,3,male,24.0,0,0,7.05,S,Mr.
211,1.0,2,female,35.0,0,0,21.0,S,Miss.
212,0.0,3,male,22.0,0,0,7.25,S,Mr.
213,0.0,2,male,30.0,0,0,13.0,S,Mr.
214,0.0,3,male,25.962263610315187,1,0,7.75,Q,Mr.
215,1.0,1,female,31.0,1,0,113.275,C,Miss.
216,1.0,3,female,27.0,0,0,7.925,S,Miss.
217,0.0,2,male,42.0,1,0,27.0,S,Mr.
218,1.0,1,female,32.0,0,0,76.2917,C,Miss.
219,0.0,2,male,30.0,0,0,10.5,S,Mr.
220,1.0,3,male,16.0,0,0,8.05,S,Mr.
221,0.0,2,male,27.0,0,0,13.0,S,Mr.
222,0.0,3,male,51.0,0,0,8.05,S,Mr.
223,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
224,1.0,1,male,38.0,1,0,90.0,S,Mr.
225,0.0,3,male,22.0,0,0,9.35,S,Mr.
226,1.0,2,male,19.0,0,0,10.5,S,Mr.
227,0.0,3,male,20.5,0,0,7.25,S,Mr.
228,0.0,2,male,18.0,0,0,13.0,S,Mr.
229,0.0,3,female,22.185328947368422,3,1,25.4667,S,Miss.
230,1.0,1,female,35.0,1,0,83.475,S,Mrs.
231,0.0,3,male,29.0,0,0,7.775,S,Mr.
232,0.0,2,male,59.0,0,0,13.5,S,Mr.
233,1.0,3,female,5.0,4,2,31.3875,S,Miss.
234,0.0,2,male,24.0,0,0,10.5,S,Mr.
235,0.0,3,female,22.185328947368422,0,0,7.55,S,Miss.
236,0.0,2,male,44.0,1,0,26.0,S,Mr.
237,1.0,2,female,8.0,0,2,26.25,S,Miss.
238,0.0,2,male,19.0,0,0,10.5,S,Mr.
239,0.0,2,male,33.0,0,0,12.275,S,Mr.
240,0.0,3,female,22.185328947368422,1,0,14.4542,C,Miss.
241,1.0,3,female,22.185328947368422,1,0,15.5,Q,Miss.
242,0.0,2,male,29.0,0,0,10.5,S,Mr.
243,0.0,3,male,22.0,0,0,7.125,S,Mr.
244,0.0,3,male,30.0,0,0,7.225,C,Mr.
245,0.0,1,male,44.0,2,0,90.0,Q,Other
246,0.0,3,female,25.0,0,0,7.775,S,Miss.
247,1.0,2,female,24.0,0,2,14.5,S,Mrs.
248,1.0,1,male,37.0,1,1,52.5542,S,Mr.
249,0.0,2,male,54.0,1,0,26.0,S,Other
250,0.0,3,male,25.962263610315187,0,0,7.25,S,Mr.
251,0.0,3,female,29.0,1,1,10.4625,S,Mrs.
252,0.0,1,male,62.0,0,0,26.55,S,Mr.
253,0.0,3,male,30.0,1,0,16.1,S,Mr.
254,0.0,3,female,41.0,0,2,20.2125,S,Mrs.
255,1.0,3,female,29.0,0,2,15.2458,C,Mrs.
256,1.0,1,female,37.037593984962406,0,0,79.2,C,Mrs.
257,1.0,1,female,30.0,0,0,86.5,S,Miss.
258,1.0,1,female,35.0,0,0,512.3292,C,Miss.
259,1.0,2,female,50.0,0,1,26.0,S,Mrs.
260,0.0,3,male,25.962263610315187,0,0,7.75,Q,Mr.
261,1.0,3,male,3.0,4,2,31.3875,S,Master.
262,0.0,1,male,52.0,1,1,79.65,S,Mr.
263,0.0,1,male,40.0,0,0,0.0,S,Mr.
264,0.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
265,0.0,2,male,36.0,0,0,10.5,S,Mr.
266,0.0,3,male,16.0,4,1,39.6875,S,Mr.
267,1.0,3,male,25.0,1,0,7.775,S,Mr.
268,1.0,1,female,58.0,0,1,153.4625,S,Mrs.
269,1.0,1,female,35.0,0,0,135.6333,S,Miss.
270,0.0,1,male,41.02927152317881,0,0,31.0,S,Mr.
271,1.0,3,male,25.0,0,0,0.0,S,Mr.
272,1.0,2,female,41.0,0,1,19.5,S,Mrs.
273,0.0,1,male,37.0,0,1,29.7,C,Mr.
274,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
275,1.0,1,female,63.0,1,0,77.9583,S,Miss.
276,0.0,3,female,45.0,0,0,7.75,S,Miss.
277,0.0,2,male,30.815379746835443,0,0,0.0,S,Mr.
278,0.0,3,male,7.0,4,1,29.125,Q,Master.
279,1.0,3,female,35.0,1,1,20.25,S,Mrs.
280,0.0,3,male,65.0,0,0,7.75,Q,Mr.
281,0.0,3,male,28.0,0,0,7.8542,S,Mr.
282,0.0,3,male,16.0,0,0,9.5,S,Other
283,1.0,3,male,19.0,0,0,8.05,S,Mr.
284,0.0,1,male,41.02927152317881,0,0,26.0,S,Mr.
285,0.0,3,male,33.0,0,0,8.6625,C,Mr.
286,1.0,3,male,30.0,0,0,9.5,S,Other
287,0.0,3,male,22.0,0,0,7.8958,S,Mr.
288,1.0,2,male,42.0,0,0,13.0,S,Mr.
289,1.0,3,female,22.0,0,0,7.75,Q,Miss.
290,1.0,1,female,26.0,0,0,78.85,S,Miss.
291,1.0,1,female,19.0,1,0,91.0792,C,Mrs.
292,0.0,2,male,36.0,0,0,12.875,C,Mr.
293,0.0,3,female,24.0,0,0,8.85,S,Miss.
294,0.0,3,male,24.0,0,0,7.8958,S,Mr.
295,0.0,1,male,41.02927152317881,0,0,27.7208,C,Mr.
296,0.0,3,male,23.5,0,0,7.2292,C,Mr.
297,0.0,1,female,2.0,1,2,151.55,S,Miss.
298,1.0,1,male,41.02927152317881,0,0,30.5,S,Mr.
299,1.0,1,female,50.0,0,1,247.5208,C,Mrs.
300,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
301,1.0,3,male,25.962263610315187,2,0,23.25,Q,Mr.
302,0.0,3,male,19.0,0,0,0.0,S,Mr.
303,1.0,2,female,27.499223300970876,0,0,12.35,Q,Miss.
304,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
305,1.0,1,male,0.92,1,2,151.55,S,Master.
306,1.0,1,female,37.037593984962406,0,0,110.8833,C,Miss.
307,1.0,1,female,17.0,1,0,108.9,C,Other
308,0.0,2,male,30.0,1,0,24.0,C,Mr.
309,1.0,1,female,30.0,0,0,56.9292,C,Miss.
310,1.0,1,female,24.0,0,0,83.1583,C,Miss.
311,1.0,1,female,18.0,2,2,262.375,C,Miss.
312,0.0,2,female,26.0,1,1,26.0,S,Mrs.
313,0.0,3,male,28.0,0,0,7.8958,S,Mr.
314,0.0,2,male,43.0,1,1,26.25,S,Mr.
315,1.0,3,female,26.0,0,0,7.8542,S,Miss.
316,1.0,2,female,24.0,1,0,26.0,S,Mrs.
317,0.0,2,male,54.0,0,0,14.0,S,Other
318,1.0,1,female,31.0,0,2,164.8667,S,Miss.
319,1.0,1,female,40.0,1,1,134.5,C,Mrs.
320,0.0,3,male,22.0,0,0,7.25,S,Mr.
321,0.0,3,male,27.0,0,0,7.8958,S,Mr.
322,1.0,2,female,30.0,0,0,12.35,Q,Miss.
323,1.0,2,female,22.0,1,1,29.0,S,Mrs.
324,0.0,3,male,25.962263610315187,8,2,69.55,S,Mr.
325,1.0,1,female,36.0,0,0,135.6333,C,Miss.
326,0.0,3,male,61.0,0,0,6.2375,S,Mr.
327,1.0,2,female,36.0,0,0,13.0,S,Mrs.
328,1.0,3,female,31.0,1,1,20.525,S,Mrs.
329,1.0,1,female,16.0,0,1,57.9792,C,Miss.
330,1.0,3,female,22.185328947368422,2,0,23.25,Q,Miss.
331,0.0,1,male,45.5,0,0,28.5,S,Mr.
332,0.0,1,male,38.0,0,1,153.4625,S,Mr.
333,0.0,3,male,16.0,2,0,18.0,S,Other
334,1.0,1,female,37.037593984962406,1,0,133.65,S,Mrs.
335,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
336,0.0,1,male,29.0,1,0,66.6,S,Mr.
337,1.0,1,female,41.0,0,0,134.5,C,Miss.
338,1.0,3,male,45.0,0,0,8.05,S,Mr.
339,0.0,1,male,45.0,0,0,35.5,S,Mr.
340,1.0,2,male,2.0,1,1,26.0,S,Master.
341,1.0,1,female,24.0,3,2,263.0,S,Miss.
342,0.0,2,male,28.0,0,0,13.0,S,Mr.
343,0.0,2,male,25.0,0,0,13.0,S,Mr.
344,0.0,2,male,36.0,0,0,13.0,S,Mr.
345,1.0,2,female,24.0,0,0,13.0,S,Miss.
346,1.0,2,female,40.0,0,0,13.0,S,Miss.
347,1.0,3,female,22.185328947368422,1,0,16.1,S,Mrs.
348,1.0,3,male,3.0,1,1,15.9,S,Master.
349,0.0,3,male,42.0,0,0,8.6625,S,Mr.
350,0.0,3,male,23.0,0,0,9.225,S,Mr.
351,0.0,1,male,41.02927152317881,0,0,35.0,S,Mr.
352,0.0,3,male,15.0,1,1,7.2292,C,Mr.
353,0.0,3,male,25.0,1,0,17.8,S,Mr.
354,0.0,3,male,25.962263610315187,0,0,7.225,C,Mr.
355,0.0,3,male,28.0,0,0,9.5,S,Other
356,1.0,1,female,22.0,0,1,55.0,S,Miss.
357,0.0,2,female,38.0,0,0,13.0,S,Miss.
358,1.0,3,female,22.185328947368422,0,0,7.8792,Q,Miss.
359,1.0,3,female,22.185328947368422,0,0,7.8792,Q,Miss.
360,0.0,3,male,40.0,1,4,27.9,S,Mr.
361,0.0,2,male,29.0,1,0,27.7208,C,Other
362,0.0,3,female,45.0,0,1,14.4542,C,Mrs.
363,0.0,3,male,35.0,0,0,7.05,S,Mr.
364,0.0,3,male,25.962263610315187,1,0,15.5,Q,Mr.
365,0.0,3,male,30.0,0,0,7.25,S,Mr.
366,1.0,1,female,60.0,1,0,75.25,C,Mrs.
367,1.0,3,female,22.185328947368422,0,0,7.2292,C,Mrs.
368,1.0,3,female,22.185328947368422,0,0,7.75,Q,Miss.
369,1.0,1,female,24.0,0,0,69.3,C,Other
370,1.0,1,male,25.0,1,0,55.4417,C,Mr.
371,0.0,3,male,18.0,1,0,6.4958,S,Mr.
372,0.0,3,male,19.0,0,0,8.05,S,Mr.
373,0.0,1,male,22.0,0,0,135.6333,C,Mr.
374,0.0,3,female,3.0,3,1,21.075,S,Miss.
375,1.0,1,female,37.037593984962406,1,0,82.1708,C,Mrs.
376,1.0,3,female,22.0,0,0,7.25,S,Miss.
377,0.0,1,male,27.0,0,2,211.5,C,Mr.
378,0.0,3,male,20.0,0,0,4.0125,C,Mr.
379,0.0,3,male,19.0,0,0,7.775,S,Mr.
380,1.0,1,female,42.0,0,0,227.525,C,Miss.
381,1.0,3,female,1.0,0,2,15.7417,C,Miss.
382,0.0,3,male,32.0,0,0,7.925,S,Mr.
383,1.0,1,female,35.0,1,0,52.0,S,Mrs.
384,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
385,0.0,2,male,18.0,0,0,73.5,S,Mr.
386,0.0,3,male,1.0,5,2,46.9,S,Master.
387,1.0,2,female,36.0,0,0,13.0,S,Miss.
388,0.0,3,male,25.962263610315187,0,0,7.7292,Q,Mr.
389,1.0,2,female,17.0,0,0,12.0,C,Miss.
390,1.0,1,male,36.0,1,2,120.0,S,Mr.
391,1.0,3,male,21.0,0,0,7.7958,S,Mr.
392,0.0,3,male,28.0,2,0,7.925,S,Mr.
393,1.0,1,female,23.0,1,0,113.275,C,Miss.
394,1.0,3,female,24.0,0,2,16.7,S,Mrs.
395,0.0,3,male,22.0,0,0,7.7958,S,Mr.
396,0.0,3,female,31.0,0,0,7.8542,S,Miss.
397,0.0,2,male,46.0,0,0,26.0,S,Mr.
398,0.0,2,male,23.0,0,0,10.5,S,Other
399,1.0,2,female,28.0,0,0,12.65,S,Mrs.
400,1.0,3,male,39.0,0,0,7.925,S,Mr.
401,0.0,3,male,26.0,0,0,8.05,S,Mr.
402,0.0,3,female,21.0,1,0,9.825,S,Miss.
403,0.0,3,male,28.0,1,0,15.85,S,Mr.
404,0.0,3,female,20.0,0,0,8.6625,S,Miss.
405,0.0,2,male,34.0,1,0,21.0,S,Mr.
406,0.0,3,male,51.0,0,0,7.75,S,Mr.
407,1.0,2,male,3.0,1,1,18.75,S,Master.
408,0.0,3,male,21.0,0,0,7.775,S,Mr.
409,0.0,3,female,22.185328947368422,3,1,25.4667,S,Miss.
410,0.0,3,male,25.962263610315187,0,0,7.8958,S,Mr.
411,0.0,3,male,25.962263610315187,0,0,6.8583,Q,Mr.
412,1.0,1,female,33.0,1,0,90.0,Q,Miss.
413,0.0,2,male,30.815379746835443,0,0,0.0,S,Mr.
414,1.0,3,male,44.0,0,0,7.925,S,Mr.
415,0.0,3,female,22.185328947368422,0,0,8.05,S,Mrs.
416,1.0,2,female,34.0,1,1,32.5,S,Mrs.
417,1.0,2,female,18.0,0,2,13.0,S,Miss.
418,0.0,2,male,30.0,0,0,13.0,S,Mr.
419,0.0,3,female,10.0,0,2,24.15,S,Other
420,0.0,3,male,25.962263610315187,0,0,7.8958,C,Mr.
421,0.0,3,male,21.0,0,0,7.7333,Q,Mr.
422,0.0,3,male,29.0,0,0,7.875,S,Mr.
423,0.0,3,female,28.0,1,1,14.4,S,Mrs.
424,0.0,3,male,18.0,1,1,20.2125,S,Mr.
425,0.0,3,male,25.962263610315187,0,0,7.25,S,Mr.
426,1.0,2,female,28.0,1,0,26.0,S,Mrs.
427,1.0,2,female,19.0,0,0,26.0,S,Miss.
428,0.0,3,male,25.962263610315187,0,0,7.75,Q,Mr.
429,1.0,3,male,32.0,0,0,8.05,S,Mr.
430,1.0,1,male,28.0,0,0,26.55,S,Mr.
431,1.0,3,female,22.185328947368422,1,0,16.1,S,Mrs.
432,1.0,2,female,42.0,1,0,26.0,S,Mrs.
433,0.0,3,male,17.0,0,0,7.125,S,Mr.
434,0.0,1,male,50.0,1,0,55.9,S,Mr.
435,1.0,1,female,14.0,1,2,120.0,S,Miss.
436,0.0,3,female,21.0,2,2,34.375,S,Miss.
437,1.0,2,female,24.0,2,3,18.75,S,Mrs.
438,0.0,1,male,64.0,1,4,263.0,S,Mr.
439,0.0,2,male,31.0,0,0,10.5,S,Mr.
440,1.0,2,female,45.0,1,1,26.25,S,Mrs.
441,0.0,3,male,20.0,0,0,9.5,S,Mr.
442,0.0,3,male,25.0,1,0,7.775,S,Mr.
443,1.0,2,female,28.0,0,0,13.0,S,Other
444,1.0,3,male,25.962263610315187,0,0,8.1125,S,Mr.
445,1.0,1,male,4.0,0,2,81.8583,S,Master.
446,1.0,2,female,13.0,0,1,19.5,S,Miss.
447,1.0,1,male,34.0,0,0,26.55,S,Mr.
448,1.0,3,female,5.0,2,1,19.2583,C,Miss.
449,1.0,1,male,52.0,0,0,30.5,S,Other
450,0.0,2,male,36.0,1,2,27.75,S,Mr.
451,0.0,3,male,25.962263610315187,1,0,19.9667,S,Mr.
452,0.0,1,male,30.0,0,0,27.75,C,Mr.
453,1.0,1,male,49.0,1,0,89.1042,C,Mr.
454,0.0,3,male,25.962263610315187,0,0,8.05,S,Mr.
455,1.0,3,male,29.0,0,0,7.8958,C,Mr.
456,0.0,1,male,65.0,0,0,26.55,S,Mr.
457,1.0,1,female,37.037593984962406,1,0,51.8625,S,Mrs.
458,1.0,2,female,50.0,0,0,10.5,S,Miss.
459,0.0,3,male,25.962263610315187,0,0,7.75,Q,Mr.
460,1.0,1,male,48.0,0,0,26.55,S,Mr.
